name,wwtp,wrf,collection.date,season,pore.size,index,GenomeName,RefSeqID,Proteins,Reference,Size (Kb),realm (Reference),realm (prediction),phylum (Reference),phylum (prediction),class (Reference),class (prediction),order (Reference),order (prediction),family (Reference),family (prediction),subfamily (Reference),subfamily (prediction),genus (Reference),genus (prediction),network
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,264,Sulfolobales Beppu rod-shaped virus 1,MK064565.1,60,TRUE,34.025,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Japarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,403,Saccharolobus solfataricus rod-shaped virus 1,MN876841.1,37,TRUE,26.097,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,404,Acidianus rod-shaped virus 3,MN876842.1,33,TRUE,23.666,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,405,Metallosphaera rod-shaped virus 1,MN876843.1,27,TRUE,20.269,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,759,Sulfolobus islandicus rod-shaped virus 2,NC_004086.1,54,TRUE,35.45,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Icerudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,760,Sulfolobus islandicus rod-shaped virus 1,NC_004087.1,45,TRUE,32.308,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Icerudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1046,Acidianus rod-shaped virus 1,NC_009965.1,41,TRUE,24.655,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Itarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2084,Stygiolobus rod-shaped virus,NC_025375.1,37,TRUE,28.096,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Azorudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2640,Acidianus rod-shaped virus 2,NC_029314.1,43,TRUE,29.763,,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Hoswirudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2649,Sulfolobus islandicus rudivirus 3,NC_030884.1,45,TRUE,32.995,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Rudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2901,Sulfolobus islandicus rod-shaped virus 7,NC_034619.1,52,TRUE,34.19,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2902,Sulfolobus islandicus rod-shaped virus 9,NC_034620.1,58,TRUE,36.391,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2903,Sulfolobus islandicus rod-shaped virus 5,NC_034621.1,57,TRUE,36.306,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2904,Sulfolobus islandicus rod-shaped virus 8,NC_034623.1,61,TRUE,36.493,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2905,Sulfolobus islandicus rod-shaped virus 11,NC_034624.1,50,TRUE,33.356,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2906,Sulfolobus islandicus rod-shaped virus 10,NC_034625.1,49,TRUE,32.735,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2907,Sulfolobus islandicus rod-shaped phage 6,NC_034627.1,56,TRUE,35.439,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2908,Sulfolobus islandicus rod-shaped virus 4,NC_034628.1,54,TRUE,35.035,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Usarudivirus,Japarudivirus|Hoswirudivirus|Icerudivirus|Itarudivirus|Azorudivirus|Rudivirus|Usarudivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1429,Sulfolobales Mexican rudivirus 1,NC_019413.1,37,TRUE,27.431,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,nan,noRef_of_Rudiviridae,Rudivirus,Rudivirus,Lower clustered then no edges
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,843,Captovirus AFV1,NC_005830.1,40,TRUE,20.869,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Ligamenvirales,Ligamenvirales,Ungulaviridae,Ungulaviridae,nan,noRef_of_Ungulaviridae,Captovirus,Captovirus,Lower clustered then no edges
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,406,Pyrobaculum filamentous virus 2,MN876844.1,39,TRUE,17.602,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2642,Pyrobaculum filamentous virus 1,NC_029548.1,39,TRUE,17.714,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Alphatristromavirus,Alphatristromavirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2911,Thermoproteus tenax virus 1,NC_038931.1,37,TRUE,13.669,Adnaviria,Adnaviria,Taleaviricota,Taleaviricota|nan,Tokiviricetes,Tokiviricetes|nan,Primavirales,Primavirales,Tristromaviridae,Tristromaviridae,nan,noRef_of_Tristromaviridae,Betatristromavirus,Betatristromavirus,Lower clustered then no edges
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,909,Bicaudavirus pozzuoliense,NC_007409.1,72,TRUE,62.73,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,Bicaudavirus,Bicaudavirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,861,Sulfolobus virus STSV1,NC_006268.1,74,TRUE,75.294,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1557,Sulfolobus virus STSV2,NC_020077.1,75,TRUE,76.107,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1907,Sulfolobus monocaudavirus SMV1,NC_023585.1,51,TRUE,48.775,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2571,Sulfolobus monocaudavirus SMV4,NC_029011.1,68,TRUE,51.711,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2580,Sulfolobus monocaudavirus SMV2,NC_029020.1,65,TRUE,50.918,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2631,Sulfolobus monocaudavirus SMV3,NC_029103.1,87,TRUE,64.323,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2641,Acidianus tailed spindle virus,NC_029316.1,95,TRUE,70.812,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Bicaudaviridae,Bicaudaviridae,nan,noRef_of_Bicaudaviridae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,667,Sulfolobus spindle-shaped virus 1,NC_001338.1,31,TRUE,15.465,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,828,Sulfolobus spindle-shaped virus 2,NC_005265.1,34,TRUE,14.796,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,840,Sulfolobus virus Ragged Hills,NC_005360.1,37,TRUE,16.473,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,841,Sulfolobus virus Kamchatka 1,NC_005361.1,31,TRUE,17.385,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1047,Sulfolobus spindle-shaped virus 4,NC_009986.1,34,TRUE,15.135,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1109,Sulfolobus spindle-shaped virus 5,NC_011217.1,34,TRUE,15.33,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1185,Betafusellovirus yellowstonense,NC_013585.1,38,TRUE,24.186,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Betafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1186,Sulfolobus spindle-shaped virus 6,NC_013587.1,33,TRUE,15.684,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Betafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1187,Sulfolobus spindle-shaped virus 7,NC_013588.1,33,TRUE,17.602,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,Alphafusellovirus,Alphafusellovirus|Betafusellovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,1629,Sulfolobales Mexican fusellovirus 1,NC_020882.1,24,TRUE,14.847,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,Fuselloviridae,Fuselloviridae,nan,noRef_of_Fuselloviridae,nan,nan,Lower clustered then no edges
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2554,Sulfolobales Virus YNP2,NC_028992.1,60,TRUE,34.783,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,nan,nan,nan,noRef_of_nan,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,2587,Sulfolobales virus YNP1,NC_029027.1,71,TRUE,40.86,,Adnaviria,nan,Taleaviricota|nan,nan,Tokiviricetes|nan,nan,nan,nan,nan,nan,noRef_of_nan,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,6993,k127_44385,k127_44385,46,FALSE,,,Adnaviria,,Taleaviricota|nan,,Tokiviricetes|nan,,novel_order_0_of_Tokiviricetes|nan,,novel_family_0_of_novel_order_0_of_Tokiviricetes|nan,,noRef_of_novel_family_0_of_novel_order_0_of_Tokiviricetes|nan,,novel_genus_0_of_noRef_of_novel_family_0_of_novel_order_0_of_Tokiviricetes|nan,Lower clustered then no edges
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5098,uncultured phage cr25_1,NC_062777.1,89,TRUE,94.533,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5100,uncultured phage cr2_1,NC_062779.1,88,TRUE,95.815,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Coarsevirinae,Coarsevirinae,Junduvirus,Junduvirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5101,uncultured phage cr13_1,NC_062780.1,84,TRUE,92.132,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Crevaviridae,Crevaviridae,Doltivirinae,Doltivirinae,Kingevirus,Kingevirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,4966,Bacteroides phage crAss002,NC_055828.1,81,TRUE,93.03,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5090,uncultured phage cr36_1,NC_062769.1,82,TRUE,96.466,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5095,uncultured phage cr54_1,NC_062774.1,82,TRUE,97.536,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Churivirinae,Churivirinae|Crudevirinae,Jahgtovirus,Jahgtovirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5285,Caudoviricetes sp. 'Rudgehvirus jaberico',OQ198719.1,84,TRUE,90.575,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Churivirinae|Crudevirinae,nan,nan,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5092,uncultured phage cr99_1,NC_062771.1,94,TRUE,98.001,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus,Fully clustered
8.5,"San Jose, CA","WRF D, CA",10/11/22,fall,0.45 um filtrate,5102,Carjivirus communis,NC_067194.1,88,TRUE,97.065,Duplodnaviria,Duplodnaviria,Uroviricota,Uroviricota,Caudoviricetes,Caudoviricetes,Crassvirales,Crassvirales,Intestiviridae,Intestiviridae,Crudevirinae,Crudevirinae,Carjivirus,Carjivirus,Fully clustered
